school_id,region,division,language,n_test_takers,english_mps,filipino_mps,numeracy_mps,mother_tongue_mps,overall_mps
107020,Region III,Zambales,Tagalog,120,58.2037037037037,63.666666666666664,34.5,,56.12878787878788
106959,Region III,Zambales,Tagalog,15,58.81481481481481,54.22222222222222,53.666666666666664,,56.0
106856,Region III,Zambales,Tagalog,146,59.117199391171994,60.2130898021309,39.41780821917808,,55.9838107098381
160507,Region III,Zambales,Tagalog,19,60.8187134502924,63.508771929824555,27.89473684210526,,55.933014354066984
107012,Region III,Zambales,Tagalog,80,58.083333333333336,59.0,43.9375,,55.88636363636363
107015,Region III,Zambales,Tagalog,69,52.0450885668277,60.57971014492753,53.913043478260875,,55.87615283267457
106965,Region III,Zambales,Tagalog,34,53.8562091503268,66.20915032679738,35.73529411764706,,55.61497326203209
500508,Region III,Zambales,Tagalog,15,50.666666666666664,67.85185185185186,39.0,,55.57575757575757
106857,Region III,Zambales,Tagalog,104,57.542735042735046,58.67521367521367,39.71153846153847,,54.763986013986006
106863,Region III,Zambales,Tagalog,127,55.748031496063,61.417322834645674,36.10236220472441,,54.49534717251253
106802,Region III,Zambales,Tagalog,43,54.05684754521963,61.24031007751938,40.11627906976744,,54.46088794926005
106966,Region III,Zambales,Tagalog,10,57.111111111111114,60.0,35.0,,54.27272727272727
501186,Region III,Zambales,Tagalog,33,54.41077441077441,63.23232323232323,33.333333333333336,,54.18732782369146
107006,Region III,Zambales,Tagalog,100,54.68888888888889,61.022222222222226,35.15,,53.72727272727273
107001,Region III,Zambales,Tagalog,22,54.64646464646464,48.18181818181819,60.0,,52.97520661157024
106855,Region III,Zambales,Tagalog,106,50.46121593291405,60.691823899371066,34.339622641509436,,51.71526586620926
106904,Region III,Zambales,Tagalog,83,48.6479250334672,52.423025435073626,54.57831325301205,,51.27053669222344
107010,Region III,Zambales,Tagalog,125,54.45333333333333,55.50222222222222,34.28,,51.21454545454545
106866,Region III,Zambales,Tagalog,102,52.70152505446623,56.688453159041394,35.44117647058823,,51.19429590017825
106973,Region III,Zambales,Tagalog,22,55.15151515151514,53.737373737373744,35.45454545454545,,50.99173553719008
160511,Region III,Zambales,Tagalog,40,48.72222222222222,60.94444444444444,33.25,,50.90909090909091
107018,Region III,Zambales,Tagalog,40,56.888888888888886,66.94444444444444,0.125,,50.68181818181818
106868,Region III,Zambales,Tagalog,142,53.11424100156494,56.6510172143975,31.19718309859155,,50.57618437900128
500511,Region III,Zambales,Tagalog,93,55.45997610513739,54.28912783751493,30.913978494623656,,50.51808406647116
500771,Region III,Zambales,Tagalog,55,51.03030303030303,56.36363636363637,34.81818181818182,,50.264462809917354
500770,Region III,Zambales,Tagalog,100,50.666666666666664,56.4,35.35,,50.22727272727273
107008,Region III,Zambales,Tagalog,30,46.29629629629629,59.18518518518519,37.83333333333333,,50.030303030303024
500773,Region III,Zambales,Tagalog,14,51.42857142857143,48.41269841269841,49.642857142857146,,49.870129870129865
106862,Region III,Zambales,Tagalog,62,51.469534050179206,55.16129032258065,32.25806451612903,,49.48680351906159
106808,Region III,Zambales,Tagalog,52,50.51282051282051,56.4102564102564,31.25,,49.42307692307692
106799,Region III,Zambales,Tagalog,32,51.25,55.625,29.375,,49.0625
501830,Region III,Zambales,Tagalog,39,46.951566951566946,57.037037037037045,33.46153846153847,,48.62470862470863
106800,Region III,Zambales,Tagalog,40,44.166666666666664,60.833333333333336,29.625,,48.34090909090909
107019,Region III,Zambales,Tagalog,92,49.227053140096615,54.227053140096615,32.173913043478265,,48.17193675889328
106919,Region III,Zambales,Tagalog,42,45.23809523809524,46.82539682539683,55.83333333333333,,47.81385281385281
500128,Region III,Zambales,Tagalog,107,48.84735202492213,53.91484942886812,29.90654205607477,,47.476635514018696
